date,revenue,orders,visitors,aov,cogs
2024-01-01,45000,320,12000,140.62,27000
2024-02-01,52000,380,13500,136.84,31200
2024-03-01,48000,350,12800,137.14,28800
2024-04-01,55000,400,14000,137.50,33000
2024-05-01,58000,420,14500,138.10,34800
2024-06-01,62000,450,15000,137.78,37200
2024-07-01,60000,430,14800,139.53,36000
2024-08-01,65000,470,15500,138.30,39000
2024-09-01,63000,455,15200,138.46,37800
2024-10-01,68000,490,16000,138.78,40800
2024-11-01,72000,520,17000,138.46,43200
2024-12-01,78000,560,18000,139.29,46800
